"","M","N","Phi","Tau","True-ES","mean-es","es-var","rel-var","rel-sd","relbias-es","phi","rho","dcoverage","tcoverage"
"549",4,40,0.3,0.4,1,1.04095906748279,0.0360780321520288,0.996011089508394,0.998003551851592,0.040959067482792,0.326477443448509,0.0472541559039661,0.8406,0.8328
"550",4,40,0.3,0.6,0,7.79780854301491e-05,0.00674820574849751,0.952795443693193,0.976112413451029,Inf,0.32641047394414,0.189038627865881,0.9805,0.9805
"551",4,40,0.3,0.6,0.5,0.541203182012055,0.0216508207585005,0.977842839023527,0.988859362611047,0.0824063640241095,0.326089225780634,0.194124681123415,0.8937,0.8835
"552",4,40,0.3,0.6,1,1.08423111678484,0.06491945340506,1.01652563523863,1.00822895973019,0.0842311167848373,0.325995831031193,0.189423395472551,0.7578,0.7426
"553",4,40,0.3,0.8,0,0.000365420975180894,0.00394412065619038,0.834978791528875,0.913771739292081,Inf,0.325920660134967,0.463312935021494,0.9871,0.9873
"554",4,40,0.3,0.8,0.5,0.579943480062189,0.0390531167586647,0.90954436348414,0.953700353090078,0.159886960124379,0.32567284715579,0.464509939501099,0.888,0.8552
"555",4,40,0.3,0.8,1,1.16718664975243,0.14337340883921,0.952716130641702,0.976071785598632,0.167186649752434,0.327141985196244,0.460384241155042,0.8261,0.8069
"556",4,40,0.5,0,0,0.00190576692783845,0.00875999840052406,0.972096157051165,0.985949368401423,Inf,0.508620379929978,0,0.9479,0.9481
"557",4,40,0.5,0,0.5,0.505956500460311,0.0104488002713512,0.971519316135837,0.985656794292941,0.0119130009206228,0.510184538210246,0,0.9499,0.9495
"558",4,40,0.5,0,1,1.00987115777592,0.0156309037530991,0.969058295588771,0.98440758610891,0.00987115777592362,0.5088868847015,0,0.9522,0.9532
"559",4,40,0.5,0.2,0,0.0012259172463886,0.00716639266617016,0.971861406959995,0.985830313471844,Inf,0.510630975542957,0.00253802846285154,0.9669,0.9669
"560",4,40,0.5,0.2,0.5,0.510931471573543,0.0105268878723712,0.974770860013769,0.987304846546278,0.0218629431470858,0.510165373174337,0.00279301192952326,0.9523,0.9499
"561",4,40,0.5,0.2,1,1.02096737360097,0.0209078170845905,0.978622021294117,0.989253264484943,0.0209673736009672,0.510575804597935,0.00242790681319728,0.9133,0.9106
"562",4,40,0.5,0.4,0,-9.04563942701049e-05,0.00606125410503821,0.96896527501708,0.98436033799472,-Inf,0.509514622658426,0.0442503803720013,0.9746,0.9746
"563",4,40,0.5,0.4,0.5,0.523638179911372,0.0132262659943855,0.981517121662581,0.990715459485003,0.0472763598227435,0.509207137920859,0.044330604100502,0.9214,0.9165
"564",4,40,0.5,0.4,1,1.04272734772357,0.0364296607914911,0.995686101787241,0.997840719647801,0.0427273477235679,0.509107876506131,0.0470232794571968,0.8113,0.7999
"565",4,40,0.5,0.6,0,-0.000145437948139297,0.00422911164447068,0.944343478313261,0.971773367773197,-Inf,0.509052909466445,0.182592142859066,0.9845,0.9847
"566",4,40,0.5,0.6,0.5,0.545859730924775,0.0195674052956851,0.98833295763584,0.994149363846218,0.0917194618495505,0.510300023236339,0.176084979616074,0.8655,0.8487
"567",4,40,0.5,0.6,1,1.09161699836037,0.0671532551431283,1.02960624980405,1.0146951511681,0.0916169983603659,0.509426080838752,0.176751264552843,0.731,0.7226
"568",4,40,0.5,0.8,0,-0.00039021440951584,0.00257827833812459,0.833349204671948,0.912879622224063,-Inf,0.509240114253839,0.447749992506891,0.987,0.9872
"569",4,40,0.5,0.8,0.5,0.58158926489451,0.0382951463314098,0.920626102961956,0.959492627883068,0.16317852978902,0.509621792874455,0.449397542855028,0.8638,0.8417
"570",4,40,0.5,0.8,1,1.16665283728966,0.147271268340449,0.950453132024786,0.974911858592758,0.166652837289656,0.510180382659648,0.447580771407639,0.8163,0.8055
"571",4,40,0.7,0,0,-0.00137401601226075,0.00493769404074116,0.954111099090212,0.976786107134112,-Inf,0.692413723058581,1.23907684541936e-05,0.9535,0.954
"572",4,40,0.7,0,0.5,0.509884167197954,0.00794103659997868,0.952854605658429,0.976142717873995,0.0197683343959085,0.690592504267159,2.33035104695774e-05,0.9562,0.9535
"573",4,40,0.7,0,1,1.01663907997215,0.0170742589970766,0.947215321645051,0.973249876262541,0.016639079972153,0.691218904661023,2.56995543263408e-06,0.9519,0.9496
